alpha,n,time_seconds
0.1,1024,0.00271250000805594
0.1,2048,0.006505460012704134
0.1,4096,0.01570419000345282
0.1,8192,0.03886485999682918
0.1,16384,0.07391015999019146
0.1,32768,0.18860157000017352
0.1,65536,0.3353795699949842
0.1,131072,0.7032718100119382
0.1,262144,1.6142586599860806
0.1,524288,3.2947475099936128
1.0,1024,0.002873119991272688
1.0,2048,0.007341250008903444
1.0,4096,0.015222069999435917
1.0,8192,0.030528349993983284
1.0,16384,0.06752420000848361
1.0,32768,0.14221354000037537
1.0,65536,0.3141356099979021
1.0,131072,0.7043780600070022
1.0,262144,1.8231665799801704
1.0,524288,3.514738530002069
5.0,1024,0.0028546299959998577
5.0,2048,0.006706889998167753
5.0,4096,0.01499410998658277
5.0,8192,0.03354485998279415
5.0,16384,0.06618240000098012
5.0,32768,0.148253510001814
5.0,65536,0.3420412200095598
5.0,131072,0.7437282799975946
5.0,262144,1.6769238799985033
5.0,524288,3.399772269994719
